# QIIME v1.3.0 OTU table
#OTU ID	SHAI	SHAJ	SHAK	SHAL	SHAM	SHNI	SHNN	SHNO	SHNP	SHNS	SHNT	SHNU	SHNW	SHNX	SHNY	SHNZ	SHOA	SHOB	SHOC	SHOF	SHOG	Consensus Lineage
98	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	3	0	0	0	1	0	Root;Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales
99	10	13	60	65	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
100	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
101	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Saccharibacter
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus
105	0	0	0	0	0	0	0	50	1	0	2	0	0	1	0	0	0	0	2	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae;Lactobacillus
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";"Aerococcaceae"
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	2	107	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales"
108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Root;Bacteria;Firmicutes;"Bacilli";"Lactobacillales";Lactobacillaceae;Lactobacillus
109	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root;Bacteria;Bacteroidetes;Bacteroidetes;Bacteroidales;Porphyromonadaceae;Dysgonomonas
110	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Root;Bacteria;Firmicutes;"Bacilli";Bacillales;"Staphylococcaceae";Staphylococcus
