#Category OTU Counts-HostSpecies
#OTU ID	Megachile_odontostoma	Agapostemon_virescens	Philanthus_gibbosus	Chalybion_californicum	Hoplitis_biscutellae	Paragia_vespiformis	Rediviva_saetigera	Halictus_patellatus	Apis_mellifera	Xylocopa_californica	Diadasia_opuntiae	Colletes_inaequalis	Apis_dorsata	Bombus_impatiens	Hesperapis_cockerelli	Apis_andreniformis	Caupolicana_yarrowi	Calliopsis_subalpinus	Bombus_sp.	Bombus_sonorus	Consensus Lineage
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Root; Bacteria; Proteobacteria; Betaproteobacteria; Neisseriales; Neisseriaceae
97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Nocardioidaceae; Nocardioides
98	0	0	0	6	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	Root; Bacteria; Bacteroidetes; Sphingobacteria; Sphingobacteriales
99	0	0	0	0	0	0	0	1	0	1	0	0	13	60	0	10	0	0	65	2	Root; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Root; Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia
101	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Saccharibacter
102	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"
103	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae
104	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Nocardiaceae; Rhodococcus
105	0	1	0	0	2	0	0	1	0	0	2	0	0	0	0	0	50	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"; Lactobacillaceae; Lactobacillus
106	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"; "Aerococcaceae"
107	0	0	0	0	0	0	0	0	262	0	0	2	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"
108	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; "Lactobacillales"; Lactobacillaceae; Lactobacillus
109	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Root; Bacteria; Bacteroidetes; Bacteroidetes; Bacteroidales; Porphyromonadaceae; Dysgonomonas
110	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Root; Bacteria; Firmicutes; "Bacilli"; Bacillales; "Staphylococcaceae"; Staphylococcus
